times,iri,euvac
2015-03-11 15:50:00,0.28,0.23
2015-03-11 15:51:00,0.28,0.23
2015-03-11 15:52:00,0.28,0.23
2015-03-11 15:53:00,0.28,0.23
2015-03-11 15:54:00,0.28,0.23
2015-03-11 15:55:00,0.28,0.23
2015-03-11 15:56:00,0.28,0.23
2015-03-11 15:57:00,0.28,0.23
2015-03-11 15:58:00,0.28,0.23
2015-03-11 15:59:00,0.28,0.23
2015-03-11 16:00:00,0.28,0.23
2015-03-11 16:01:00,0.28,0.23
2015-03-11 16:02:00,0.28,0.23
2015-03-11 16:03:00,0.28,0.23
2015-03-11 16:04:00,0.28,0.23
2015-03-11 16:05:00,0.28,0.23
2015-03-11 16:06:00,0.28,0.23
2015-03-11 16:07:00,0.28,0.23
2015-03-11 16:08:00,0.28,0.23
2015-03-11 16:09:00,0.28,0.23
2015-03-11 16:10:00,0.28,0.23
2015-03-11 16:11:00,0.28,0.23
2015-03-11 16:12:00,0.28,0.24
2015-03-11 16:13:00,0.28,0.25
2015-03-11 16:14:00,0.28,0.31
2015-03-11 16:15:00,0.28,0.48
2015-03-11 16:16:00,0.28,2.05
2015-03-11 16:17:00,0.28,3.96
2015-03-11 16:18:00,0.28,5.04
2015-03-11 16:19:00,0.28,5.71
2015-03-11 16:20:00,0.28,6.05
2015-03-11 16:21:00,0.28,6.1
2015-03-11 16:22:00,0.28,6.03
2015-03-11 16:23:00,0.28,5.86
2015-03-11 16:24:00,0.28,5.61
2015-03-11 16:25:00,0.28,5.3
2015-03-11 16:26:00,0.28,4.99
2015-03-11 16:27:00,0.28,4.72
2015-03-11 16:28:00,0.28,4.46
2015-03-11 16:29:00,0.28,4.22
2015-03-11 16:30:00,0.28,3.99
2015-03-11 16:31:00,0.28,3.73
2015-03-11 16:32:00,0.28,3.48
2015-03-11 16:33:00,0.28,3.25
2015-03-11 16:34:00,0.28,3.04
2015-03-11 16:35:00,0.29,2.85
2015-03-11 16:36:00,0.29,2.68
2015-03-11 16:37:00,0.29,2.53
2015-03-11 16:38:00,0.29,2.39
2015-03-11 16:39:00,0.29,2.26
2015-03-11 16:40:00,0.29,2.13
2015-03-11 16:41:00,0.28,2.0
2015-03-11 16:42:00,0.28,1.88
2015-03-11 16:43:00,0.28,1.78
2015-03-11 16:44:00,0.28,1.67
2015-03-11 16:45:00,0.28,1.56
2015-03-11 16:46:00,0.28,1.48
2015-03-11 16:47:00,0.28,1.4
2015-03-11 16:48:00,0.28,1.33
2015-03-11 16:49:00,0.28,1.26
2015-03-11 16:50:00,0.28,1.21
2015-03-11 16:51:00,0.28,1.14
2015-03-11 16:52:00,0.28,1.08
2015-03-11 16:53:00,0.28,1.02
2015-03-11 16:54:00,0.28,0.98
2015-03-11 16:55:00,0.28,0.94
2015-03-11 16:56:00,0.28,0.89
2015-03-11 16:57:00,0.28,0.83
2015-03-11 16:58:00,0.28,0.79
2015-03-11 16:59:00,0.28,0.74
2015-03-11 17:00:00,0.28,0.71
2015-03-11 17:01:00,0.28,0.67
2015-03-11 17:02:00,0.28,0.65
2015-03-11 17:03:00,0.28,0.63
2015-03-11 17:04:00,0.28,0.62
2015-03-11 17:05:00,0.28,0.61
2015-03-11 17:06:00,0.28,0.59
2015-03-11 17:07:00,0.28,0.58
2015-03-11 17:08:00,0.28,0.56
2015-03-11 17:09:00,0.28,0.54
2015-03-11 17:10:00,0.28,0.51
2015-03-11 17:11:00,0.28,0.49
2015-03-11 17:12:00,0.28,0.47
2015-03-11 17:13:00,0.28,0.45
2015-03-11 17:14:00,0.28,0.43
2015-03-11 17:15:00,0.28,0.42
2015-03-11 17:16:00,0.28,0.4
2015-03-11 17:17:00,0.28,0.39
2015-03-11 17:18:00,0.28,0.37
2015-03-11 17:19:00,0.28,0.36
